               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.027215,            0.010081,            0.003649,             0.97328,             0.90047,             0.94154,             0.60232,            0.020021,           0.0067721,            0.078982,           0.0006634,           0.0006634,           0.0006634
                  36,            0.027098,           0.0099554,           0.0036662,             0.97736,             0.88883,              0.9484,             0.60991,            0.019838,           0.0066503,            0.075174,           0.0006535,           0.0006535,           0.0006535
                  37,            0.026991,            0.010028,           0.0033963,             0.97473,             0.90032,             0.95398,             0.60246,            0.020056,           0.0067404,             0.07553,           0.0006436,           0.0006436,           0.0006436
                  38,            0.027033,            0.010034,           0.0032844,             0.97569,             0.90064,             0.95433,             0.60264,            0.019603,            0.006719,            0.075877,           0.0006337,           0.0006337,           0.0006337
                  39,             0.02694,           0.0098783,           0.0032155,             0.97543,                 0.9,             0.93458,             0.59685,            0.020423,           0.0067397,            0.077339,           0.0006238,           0.0006238,           0.0006238
                  40,            0.026826,           0.0099941,           0.0030016,             0.97315,                 0.9,             0.93605,             0.59731,            0.020276,           0.0066899,            0.077864,           0.0006139,           0.0006139,           0.0006139
                  41,            0.026692,            0.010069,           0.0032672,             0.97469,             0.90086,             0.95693,             0.60758,            0.020588,           0.0065753,            0.071946,            0.000604,            0.000604,            0.000604
                  42,            0.026608,           0.0099823,           0.0033518,             0.97467,             0.89749,             0.94495,             0.60106,             0.02148,           0.0067382,            0.073691,           0.0005941,           0.0005941,           0.0005941
                  43,            0.026489,           0.0099453,           0.0028348,             0.97529,                 0.9,             0.93729,             0.60206,            0.021368,           0.0067879,             0.07752,           0.0005842,           0.0005842,           0.0005842
                  44,            0.026574,           0.0099618,           0.0031283,             0.97207,                 0.9,             0.92192,             0.59631,            0.020391,           0.0066672,            0.077958,           0.0005743,           0.0005743,           0.0005743
                  45,            0.026235,            0.010158,           0.0029013,             0.97536,             0.90027,             0.94612,              0.6044,            0.020415,           0.0067465,            0.075624,           0.0005644,           0.0005644,           0.0005644
                  46,            0.026264,           0.0098813,           0.0032602,             0.97668,             0.90035,             0.94392,             0.59828,             0.02067,           0.0066702,            0.071396,           0.0005545,           0.0005545,           0.0005545
